age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,capital-gain,capital-loss,hours-per-week,native-country,sex,income
39,7,77516,9,13,4,1,1,4,2174,0,40,39,0,0
50,4,83311,9,13,2,1,0,4,0,0,13,39,0,0
38,4,215646,11,9,0,6,1,4,0,0,40,39,0,0
53,4,234721,1,7,2,6,0,2,0,0,40,39,0,0
28,4,338409,9,13,2,10,5,2,0,0,40,39,0,1
37,4,284582,12,14,4,4,5,4,0,0,40,39,0,1
49,4,160187,6,5,3,8,1,2,0,0,16,23,0,1
52,6,209642,11,9,2,4,0,4,0,0,45,39,1,0
31,4,45781,12,14,4,10,1,4,0,0,50,39,1,1
42,4,159449,9,13,2,4,0,4,5178,0,50,39,1,0
31,4,280464,15,10,2,4,0,2,0,0,80,39,1,0
30,4,141297,9,13,2,10,0,1,0,0,40,19,1,0
23,4,122272,9,13,4,1,3,4,0,0,30,39,0,1
32,4,205019,7,12,4,12,1,4,0,0,50,39,0,0
40,4,46857,8,11,2,3,0,1,0,0,40,0,1,0
34,4,245487,5,4,2,3,0,0,0,0,45,26,0,0
25,6,176756,15,9,4,5,3,4,0,0,35,39,0,0
32,4,186824,11,9,4,7,4,4,0,0,40,39,0,0
38,5,28887,11,7,2,12,0,4,0,0,50,39,0,0
43,4,292175,12,14,0,4,4,4,0,0,45,39,1,1
40,4,193524,10,16,2,10,0,4,0,0,60,39,1,0
54,4,302146,8,9,5,8,4,2,0,0,20,39,0,1
35,1,76845,6,5,2,5,0,2,0,0,40,39,0,0
43,4,117037,1,7,2,14,0,4,0,2042,40,39,0,0
59,4,109015,11,9,0,13,4,4,0,0,40,39,0,1
56,2,216851,9,13,2,13,0,4,0,0,45,39,1,0
56,4,168294,11,9,4,3,3,4,0,0,40,39,0,0
54,0,180211,15,10,2,0,0,1,0,0,60,35,1,0
39,4,367260,11,9,0,4,1,4,0,0,80,39,0,0
49,4,193366,11,9,2,3,0,4,0,0,40,39,0,0
23,2,190709,7,12,4,11,1,4,0,0,52,39,0,0
20,4,266015,15,10,4,12,3,2,0,0,40,39,0,0
45,6,386940,9,13,0,4,3,4,0,1408,40,39,0,0
30,1,59951,15,7,2,1,3,4,0,0,40,39,0,0
22,5,311512,15,11,2,8,0,2,0,0,15,39,0,0
48,4,242406,1,7,4,7,4,4,0,0,40,33,0,0
21,4,197200,15,10,4,7,3,4,0,0,40,39,0,0
19,4,544091,11,9,1,1,5,4,0,0,25,39,0,1
31,4,84154,15,10,2,12,0,4,0,0,38,0,1,0
