age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,capital-gain,capital-loss,hours-per-week,native-country,sex,income
39,4,77516,9,13,2,1,1,4,2174,0,40,39,0,0
50,6,177114,9,13,2,4,0,4,0,0,13,39,0,0
38,4,215646,11,9,0,6,1,2,0,0,40,39,0,0
53,4,234721,1,7,2,3,0,2,0,0,40,39,0,0
28,4,338409,9,13,2,10,5,4,0,0,40,5,1,0
49,4,284582,12,14,2,4,5,4,0,0,40,39,1,0
49,4,160187,6,10,3,8,0,4,0,0,35,23,1,0
52,4,209642,11,9,2,4,0,4,0,0,45,39,0,1
31,4,45781,12,14,2,10,0,4,14084,0,50,39,1,1
42,4,159449,11,13,2,1,0,4,0,0,24,39,0,1
64,4,280464,15,14,2,4,0,2,0,0,80,39,0,1
30,7,141297,9,13,2,10,0,1,0,0,40,19,0,1
23,4,122272,9,13,4,1,3,4,0,0,30,39,1,0
32,4,205019,7,12,6,8,5,4,0,0,50,39,0,0
40,4,121772,12,11,2,3,0,1,0,0,40,0,0,1
42,4,245487,5,4,2,14,5,4,0,0,45,26,0,0
41,9,176756,11,9,4,4,3,4,0,0,35,39,0,0
54,4,186824,15,9,4,7,4,2,0,0,40,39,0,0
38,4,141918,1,7,2,12,3,4,0,0,50,39,0,0
43,0,292175,12,10,0,4,4,4,0,0,45,39,1,1
40,4,193524,10,16,2,7,0,4,0,0,40,39,0,1
54,4,302146,11,9,5,8,3,2,0,0,20,39,1,0
35,4,207513,6,5,2,5,0,2,0,0,40,39,0,0
43,4,117037,1,7,2,13,0,4,0,2042,40,39,0,0
59,4,109015,11,9,0,13,0,4,0,0,40,24,1,0
53,2,216851,9,9,2,13,0,4,0,0,40,39,0,1
19,4,168294,11,9,4,1,3,4,0,0,40,39,0,0
54,0,180211,15,10,2,0,3,1,0,0,60,35,0,1
39,4,367260,11,9,0,4,1,4,0,0,80,39,0,0
49,4,193366,11,9,2,12,0,4,0,0,40,39,0,0
23,2,46537,7,13,4,10,1,4,0,0,52,39,0,0
34,4,266015,15,10,4,3,3,2,0,0,44,39,0,0
25,4,386940,9,13,0,4,3,4,0,1408,40,39,0,0
30,1,59951,15,10,2,1,3,4,0,0,32,39,0,0
22,7,82540,15,3,2,8,0,2,0,0,15,39,0,0
48,4,242406,1,7,2,7,4,4,0,0,40,33,0,0
21,4,197200,11,10,6,7,3,4,0,0,40,39,0,0
19,4,180884,11,9,2,1,5,4,0,0,25,39,1,0
31,4,84154,15,10,2,6,0,4,0,0,38,0,0,1
48,6,265477,7,12,2,10,0,4,0,0,40,39,0,0
31,4,507875,6,9,2,7,0,4,0,0,43,39,0,0
53,4,88506,9,13,2,5,0,4,0,0,40,39,0,0
37,4,172987,9,13,4,13,1,4,0,0,50,39,0,0
49,4,201700,11,9,5,1,1,4,0,0,40,39,1,0
65,0,289980,11,9,2,6,1,4,0,0,35,39,0,0
57,1,337895,9,13,2,3,0,2,0,0,40,39,0,1
53,4,144361,11,9,0,7,0,4,0,0,50,39,0,0
44,4,128354,12,14,0,4,4,4,0,0,40,39,1,0
45,7,101603,8,11,4,6,1,4,0,0,40,39,0,0
29,4,271466,8,11,4,10,1,4,0,0,40,39,0,0
